video_id,author,comment_text,published_at,like_count,is_promo_manual_label,is_judol,judol_prob_ml,judol_reason,clean_ml,clean_heuristic
YZ4N8jH5R_M,@FandyFandy-u7d,Sekilas anakNya jarwo mirip te ocah yh..tau cMan aq yg ngerasa😂,2025-11-12T05:44:36Z,0,False,0,0.20613163709640503,ML,sekilas anaknya jarwo mirip te ocah yh..tau cman aq yg ngerasa😂,sek11asanaknyajarw0m1r1pte0cahyhtaucmanaqygngerasa
YZ4N8jH5R_M,@faisalusman7963,Mirip rosa banget ini😂,2025-11-11T23:58:42Z,0,False,0,0.2865840494632721,ML,mirip rosa banget ini😂,m1r1pr0sabanget1n1
YZ4N8jH5R_M,@nurjannah8803,"Di acaranya indra harusnya serame ini suaranya jadi tambah seru, sunyi bgt 😂",2025-11-11T04:23:30Z,0,False,0,0.2780163288116455,ML,"di acaranya indra harusnya serame ini suaranya jadi tambah seru, sunyi bgt 😂",d1acaranya1ndraharusnyaserame1n1suaranyajad1tambahserusuny1bgt
YZ4N8jH5R_M,@pupungpamungkas5557,iya mirip teh rosa hehe,2025-11-11T04:18:27Z,0,False,0,0.24603474140167236,ML,iya mirip teh rosa hehe,1yam1r1ptehr0sahehe
YZ4N8jH5R_M,@kurt___,👍,2025-11-10T17:47:47Z,0,False,0,0.28633370995521545,ML,👍,
YZ4N8jH5R_M,@rhiiyoanggara6419,Terlalu dar der dor 😅😅😅,2025-11-10T16:52:14Z,0,False,0,0.259318083524704,ML,terlalu dar der dor 😅😅😅,ter1a1udarderd0r
YZ4N8jH5R_M,@samuelmanalumanalu8681,Ga enak ga emosi pak Jarwo...,2025-11-10T15:38:29Z,0,False,0,0.19577141106128693,ML,ga enak ga emosi pak jarwo...,gaenakgaem0s1pakjarw0
YZ4N8jH5R_M,@Thảo-Khúc-Quốc,mantep juga main di 【ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【LAZADATOTO 】🔥🔥 barusan wd 3 ikat modal 100 aja,2025-11-10T14:07:10Z,0,True,1,0.800700843334198,ML,mantep juga main di  carì dì googlè: :   lazadatoto  🔥🔥 barusan wd 3 ikat modal 100 aja,mantepjugama1nd1car1d1g00g1e1azadat0t0barusanwd31katm0da1100aja
YZ4N8jH5R_M,@NgocHien3f8dcg_248,minimal depo berapa ya bang aku ada saldo 50 nih pingin wd di 【ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【LAZADATOTO 】🔥🔥,2025-11-10T14:06:53Z,0,True,1,0.7299384474754333,ML,minimal depo berapa ya bang aku ada saldo 50 nih pingin wd di  carì dì googlè: :   lazadatoto  🔥🔥,m1n1ma1dep0berapayabangakuadasa1d050n1hp1ng1nwdd1car1d1g00g1e1azadat0t0
YZ4N8jH5R_M,@ThuyTramtoli1c_873,kenalin ni andalan gua 【ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【LAZADATOTO 】🔥🔥 dijamin betah semua member dsini,2025-11-10T14:05:56Z,0,True,1,0.7130559682846069,ML,kenalin ni andalan gua  carì dì googlè: :   lazadatoto  🔥🔥 dijamin betah semua member dsini,kena11nn1anda1anguacar1d1g00g1e1azadat0t0d1jam1nbetahsemuamemberds1n1
YZ4N8jH5R_M,@Vy.Trần.Bảo,【ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【LAZADATOTO 】🔥🔥 bakal selalu jadi andalan gua di akhir bulan bestiee,2025-11-10T14:05:51Z,0,True,1,0.65633624792099,ML, carì dì googlè: :   lazadatoto  🔥🔥 bakal selalu jadi andalan gua di akhir bulan bestiee,car1d1g00g1e1azadat0t0baka1se1a1ujad1anda1anguad1akh1rbu1anbest1ee
YZ4N8jH5R_M,@bìnhdiệpnguyệt1977,buruan coba di 【ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【LAZADATOTO 】🔥🔥 minimal depo nya cuman 35k bestie,2025-11-10T14:05:43Z,0,True,1,0.6988257169723511,ML,buruan coba di  carì dì googlè: :   lazadatoto  🔥🔥 minimal depo nya cuman 35k bestie,buruanc0bad1car1d1g00g1e1azadat0t0m1n1ma1dep0nyacuman35kbest1e
YZ4N8jH5R_M,@Sviệthữu,gak heran sama 【ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【LAZADATOTO 】🔥🔥 pantesan semua pada betah maen,2025-11-10T14:05:28Z,0,True,1,0.616631805896759,ML,gak heran sama  carì dì googlè: :   lazadatoto  🔥🔥 pantesan semua pada betah maen,gakheransamacar1d1g00g1e1azadat0t0pantesansemuapadabetahmaen
YZ4N8jH5R_M,@TrangVõXuân-9133,aku stay maen di 【ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【LAZADATOTO 】🔥🔥 selalu dapat berkah nyaKuy klaim new member di 【ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【LAZADATOTO 】🔥🔥 auto wd sih pastinya,2025-11-10T14:05:19Z,0,True,1,0.7647871971130371,ML,aku stay maen di  carì dì googlè: :   lazadatoto  🔥🔥 selalu dapat berkah nyakuy klaim new member di  carì dì googlè: :   lazadatoto  🔥🔥 auto wd sih pastinya,akustaymaend1car1d1g00g1e1azadat0t0se1a1udapatberkahnyakuyk1a1mnewmemberd1car1d1g00g1e1azadat0t0aut0wds1hpast1nya
YZ4N8jH5R_M,@Minh.Liễu.Xuân,nepati janji kali admin 【ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【LAZADATOTO 】🔥🔥 salutbanget gua,2025-11-10T14:05:18Z,0,True,1,0.659834086894989,ML,nepati janji kali admin  carì dì googlè: :   lazadatoto  🔥🔥 salutbanget gua,nepat1janj1ka11adm1ncar1d1g00g1e1azadat0t0sa1utbangetgua
YZ4N8jH5R_M,@ThanhHuong_940,Gampang banget merasakan wd di 【ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【LAZADATOTO 】🔥🔥,2025-11-10T14:04:54Z,0,True,1,0.749592125415802,ML,gampang banget merasakan wd di  carì dì googlè: :   lazadatoto  🔥🔥,gampangbangetmerasakanwdd1car1d1g00g1e1azadat0t0
YZ4N8jH5R_M,@TuyetNga_hwTuyetNga_358,"Website gacor, Proses cepat seperti kilat, cuma disitus 【ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【LAZADATOTO 】🔥🔥",2025-11-10T14:04:40Z,0,True,1,0.6737277507781982,ML,"website gacor, proses cepat seperti kilat, cuma disitus  carì dì googlè: :   lazadatoto  🔥🔥",webs1tegac0rpr0sescepatsepert1k11atcumad1s1tuscar1d1g00g1e1azadat0t0
YZ4N8jH5R_M,@HoaLan71nzdl_925,ada cambodia taiwan china japan hongkong sydney singapore p00ls gak ribet 【ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【LAZADATOTO 】🔥🔥,2025-11-10T14:03:57Z,0,True,1,0.7640877366065979,ML,ada cambodia taiwan china japan hongkong sydney singapore p00ls gak ribet  carì dì googlè: :   lazadatoto  🔥🔥,adacamb0d1ata1wanch1najapanh0ngk0ngsydneys1ngap0rep001sgakr1betcar1d1g00g1e1azadat0t0
YZ4N8jH5R_M,@adhityajr8048,👍👍👍👍👍,2025-11-10T09:01:38Z,0,False,0,0.28633370995521545,ML,👍👍👍👍👍,
YZ4N8jH5R_M,@daenavoice1212,"kalo pak jarwo udah kepancing emosinya,disitulah letak ngakak brutal penonton 😁",2025-11-10T05:21:18Z,1,False,0,0.2598794996738434,ML,"kalo pak jarwo udah kepancing emosinya,disitulah letak ngakak brutal penonton 😁",ka10pakjarw0udahkepanc1ngem0s1nyad1s1tu1ah1etakngakakbruta1pen0nt0n
YZ4N8jH5R_M,@rusdians2000,request bintang tamumunya dong om ded @Karyn Putry Lestari (KarynBukanKarny) yg dulu peserta stand up comedy  academy 3,2025-11-09T18:48:03Z,0,False,0,0.20629583299160004,ML,request bintang tamumunya dong om ded  karyn putry lestari (karynbukankarny) yg dulu peserta stand up comedy  academy 3,requestb1ntangtamumunyad0ng0mdedkarynputry1estar1karynbukankarnyygdu1upesertastandupc0medyacademy3
YZ4N8jH5R_M,@lingbebe5818,"Aku suka bgt sma p jarwo ini selalu dibuly lucu lah pelawak ini punya karakter yg beda .parto, jg ada bbrp jg",2025-11-09T13:27:41Z,0,False,0,0.3587491810321808,ML,"aku suka bgt sma p jarwo ini selalu dibuly lucu lah pelawak ini punya karakter yg beda .parto, jg ada bbrp jg",akusukabgtsmapjarw01n1se1a1ud1bu1y1ucu1ahpe1awak1n1punyakarakterygbedapart0jgadabbrpjg
YZ4N8jH5R_M,@IfanMalik-e7c,Prasss pasukan mati 🤟,2025-11-09T03:58:39Z,0,False,0,0.26377302408218384,ML,prasss pasukan mati 🤟,prassspasukanmat1
YZ4N8jH5R_M,@vasu2926,"Yang lain boleh lucu, tapi T0GEL62 lucunya natural banget! 😝",2025-11-09T01:11:14Z,0,True,1,0.6752538681030273,ML,"yang lain boleh lucu, tapi t0gel62 lucunya natural banget! 😝",yang1a1nb01eh1ucutap1t0ge1621ucunyanatura1banget
YZ4N8jH5R_M,@Solotov500,Setiap video T0GEL62 tuh kayak recharge energi positif ⚡,2025-11-09T01:11:13Z,0,False,1,0.6816461086273193,ML,setiap video t0gel62 tuh kayak recharge energi positif ⚡,set1apv1de0t0ge162tuhkayakrechargeenerg1p0s1t1f
YZ4N8jH5R_M,@ashwini7192,T0GEL62 tiap upload tuh kayak kejutan menyenangkan 😍,2025-11-09T01:11:12Z,0,False,1,0.6071798205375671,ML,t0gel62 tiap upload tuh kayak kejutan menyenangkan 😍,t0ge162t1apup10adtuhkayakkejutanmenyenangkan
YZ4N8jH5R_M,@YopsehHenriquez,T0GEL62 bikin hari biasa jadi luar biasa 😍,2025-11-09T01:11:11Z,0,False,1,0.487356960773468,Heuristic (Override Ambiguous ML),t0gel62 bikin hari biasa jadi luar biasa 😍,t0ge162b1k1nhar1b1asajad11uarb1asa
