video_id,author,comment_text,published_at,like_count,is_promo,clean_text,ai_prob,label
YZ4N8jH5R_M,@HermanHerman-tp1us,"Maaf bang tapi sekarang km udah gak natural bawakan acara, podcast terakhir d nasi padang itu masih bagus tapi di pojok terminal ini km kbanyakan di buat2 jadi kurang bagus di lihatnya,
Apa adanya aja bang gak usah gimik2 gk jelas. 
Jangan jadi orang lain bang jadi bang pras aja,,🙏🙏",2025-11-15T23:20:20Z,0,False,maaf bang tapi sekarang km udah gak natural bawakan acara podcast terakhir d nasi padang itu masih bagus tapi di pojok terminal ini km kbanyakan di buat2 jadi kurang bagus di lihatnya apa adanya aja bang gak usah gimik2 gk jelas jangan jadi orang lain bang jadi bang pras aja,2.8098591e-05,0
YZ4N8jH5R_M,@zallesvhan,"Kontennya keren! Terus berkarya bang 🙌
Salam hoki dari 𝐊𝐈𝐍𝐎𝟒𝐃 , tempat hiburan online paling rame 🎰✨",2025-11-14T09:21:34Z,0,False,kontennya keren terus berkarya bang salam hoki dari kino4d tempat hiburan online paling rame,0.9998084,1
YZ4N8jH5R_M,@tedivirgiawan9996,Giliran yg lucu waktu nya cepet bngt😢,2025-11-12T16:07:14Z,0,False,giliran yg lucu waktu nya cepet bngt,0.0015817187,0
YZ4N8jH5R_M,@entah02,Eh ada Pak jalal 😂😂,2025-11-12T12:39:29Z,0,False,eh ada pak jalal,0.0009702621,0
YZ4N8jH5R_M,@FandyFandy-u7d,Sekilas anakNya jarwo mirip te ocah yh..tau cMan aq yg ngerasa😂,2025-11-12T05:44:36Z,0,False,sekilas anaknya jarwo mirip te ocah yh tau cman aq yg ngerasa,8.934141e-06,0
YZ4N8jH5R_M,@faisalusman7963,Mirip rosa banget ini😂,2025-11-11T23:58:42Z,0,False,mirip rosa banget ini,0.0035378472,0
YZ4N8jH5R_M,@nurjannah8803,"Di acaranya indra harusnya serame ini suaranya jadi tambah seru, sunyi bgt 😂",2025-11-11T04:23:30Z,0,False,di acaranya indra harusnya serame ini suaranya jadi tambah seru sunyi bgt,9.2819355e-05,0
YZ4N8jH5R_M,@rhiiyoanggara6419,Terlalu dar der dor 😅😅😅,2025-11-10T16:52:14Z,0,False,terlalu dar der dor,0.00020423211,0
YZ4N8jH5R_M,@samuelmanalumanalu8681,Ga enak ga emosi pak Jarwo...,2025-11-10T15:38:29Z,0,False,ga enak ga emosi pak jarwo,0.0020357703,0
YZ4N8jH5R_M,@Thảo-Khúc-Quốc,mantep juga main di 【ÇÄRÌ ÐÌ GÖÖGLÈ：】:  【LAZADATOTO 】🔥🔥 barusan wd 3 ikat modal 100 aja,2025-11-10T14:07:10Z,0,True,mantep juga main di cari ði google lazadatoto barusan wd 3 ikat modal 100 aja,0.9999977,1
